X_train,y_train
papatayin kita uy may kilala akong pulis ,"[0, 0, 0, 1, 0, 1]"
yes i know katulong ,"[0, 0, 0, 1, 0, 1]"
hindi ko maintindihan bakit ang taga probinsya ay laging backward ,"[0, 0, 0, 0, 1, 1]"
notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks anthony bradbury sucks cock and eats shit notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks anthony bradbury sucks cock and eats shit notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks anthony bradbury sucks cock and eats shit notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks notrhbysouthbanof sucks cocks anthony bradbury sucks cock and eats shit ,"[1, 0, 1, 0, 0, 0]"
dadamputin kita sa bahay mo papatayin kita ,"[0, 0, 0, 1, 0, 1]"
i think you ll find you are edit waring too so fuck you how dare you swear at me,"[1, 0, 1, 0, 0, 0]"
literally can t even with how good group projects sobrang galing sana all ,"[0, 0, 0, 0, 0, 0]"
 sheanxiv yea ion do brussel sprouts i barely do cordon bleu but i wanted to try something dif i get tired of nigger foods,"[0, 0, 0, 0, 1, 1]"
sana all kasing husay ng group projects valid talaga charaught passingthevibe,"[0, 0, 0, 0, 0, 0]"
typical kapampangan makapal ang mukha ,"[0, 0, 0, 0, 1, 1]"
calista tanga inutil uto uto bobo lopez,"[1, 1, 0, 0, 0, 0]"
he not gay no he just fuck with busted basic bitches lol,"[1, 0, 0, 0, 1, 0]"
sallary controversy arzel watch your back on the street delete the truth ill cut you on the street the president of the peabody essex museum dan monroe makes a year with full benefits while all the guards are part time with no benefits this edit was undone by you you are a piece of shit what are you on the payroll for that fuck dan monroe jews like you give jews like me a bad name i know where you live go out with your friends dog for a walk be careful go fuck yourself you are apiece of shit ,"[0, 1, 1, 1, 0, 1]"
kinasusuklaman ng buddha ang mga tulad mong mangmang walang kapatawaran ,"[0, 0, 0, 1, 0, 1]"
ang hirap talaga maging gen z no ang daming expectations,"[0, 0, 0, 0, 0, 0]"
alam mo bang kinasusuklaman ng bathala ang baptist tatamaan kita ,"[0, 0, 0, 1, 0, 1]"
hindi ako nagtataka kung bakit kinamumuhian ang mga ilocano makapal ang mukha ,"[0, 0, 0, 0, 1, 1]"
bobo ng pldt,"[1, 1, 1, 0, 0, 0]"
payag na payag naman si tanga,"[1, 1, 1, 0, 0, 0]"
what kind of idiot are you obviously you can t f ing read i asked for someone to add one of more of those images i provide to the entry instead your retarded simply reverts the damn thing can you not understand fricken english or something ,"[1, 1, 1, 0, 0, 0]"
bruh facts about sb lodi talaga ,"[0, 0, 0, 0, 0, 0]"
parurusahan ka ng allah dahil sa pagmumura mo mapupunta ka sa purgataryo ,"[1, 0, 0, 1, 0, 0]"
ganyan talaga kayo mga maranao mabaho ,"[0, 0, 0, 0, 1, 1]"
ganyan talaga kayo mga tagalog barbaric ,"[0, 0, 0, 0, 1, 1]"
typical maguindanao walang modo ,"[0, 0, 0, 0, 1, 1]"
go fuck your mother faggot,"[1, 0, 1, 0, 0, 0]"
tanga ni clive di pwedeng bonggets,"[1, 1, 1, 0, 0, 0]"
low key love graduation based and galing collegedays,"[0, 0, 0, 0, 0, 0]"
 cleggzta ho ho ho ,"[0, 0, 0, 0, 1, 1]"
my heart soul mind and strength ,"[0, 0, 0, 1, 0, 1]"
papatayin kita ulol hindi mo alam ang kaya kong gawin ,"[0, 0, 0, 1, 0, 1]"
sa langit sa mga tulad mong ipokrito ,"[0, 0, 0, 1, 0, 1]"
picture youy mother with her wrinkled up ass in the air grease up that pooper and jam it in go fuck your mother you better leave me alone you little runt,"[1, 0, 1, 0, 0, 0]"
daming mong sabi bobo naman,"[1, 1, 1, 0, 0, 0]"
one of you in a shredder ,"[0, 0, 0, 1, 0, 1]"
i think scholarships is so goals sana all kasing husay ng kabatch ,"[0, 0, 0, 0, 0, 0]"
kaya hindi umaasenso ang kapampangan dahil hindi sila nag aaral ,"[0, 0, 0, 0, 1, 1]"
hello smelly skunk how come that you again changed it you are a stupid asshole like your ancestors you gobbled greedily fecal materials ,"[1, 1, 0, 0, 0, 0]"
sa langit parurusahan ka ng bathala dahil sa kasalanan mo ,"[0, 0, 0, 1, 0, 1]"
kung may problema ka eh sa direct message ka tanga sa sayout ka lang magaling eh,"[0, 1, 0, 0, 0, 0]"
it hits different when dorm life studentlife studentlife,"[0, 0, 0, 0, 0, 0]"
